Complaint_ID,Consumer_complaint_narrative,Narrative_Length,Chunks
2379386,"My mortgage company failed to pay my real estate taxes out of my escrow account even after XXXX delinquent notices were received by them. When they were questioned about this, they proceeded to scream at me and refused to pay it, including the late fees and interest.",267,"['My mortgage company failed to pay my real estate taxes out of my escrow account even after XXXX delinquent notices were received by them. When they were questioned about this, they proceeded to scream at me and refused to pay it, including the late fees and interest.']"
2375679,"Two issues
1. I did not receive the right to verify debt, and
2. Debt collector falsely reported XXXX accounts to credit reporting which has lowered my score.

I have asked them in writing, and via phone, to remedy this.",220,"['Two issues\n1. I did not receive the right to verify debt, and\n2. Debt collector falsely reported XXXX accounts to credit reporting which has lowered my score.\n\nI have asked them in writing, and via phone, to remedy this.']"
2426207,assessed a late payment fee on my card made payment on time,59,['assessed a late payment fee on my card made payment on time']
2367430,Did not receive notice of right to dispute. I have a dispute with a pressure cleaning company who damaged my house paint by using chlorine. I intend to sue them. Debt collector should have given me a notice and right to dispute prior to attempting to collect debt.,264,['Did not receive notice of right to dispute. I have a dispute with a pressure cleaning company who damaged my house paint by using chlorine. I intend to sue them. Debt collector should have given me a notice and right to dispute prior to attempting to collect debt.']
2374020,this company zfn and associates have been threaten me to go to jail also have faxed my job asking for my routing and bank account,129,['this company zfn and associates have been threaten me to go to jail also have faxed my job asking for my routing and bank account']
2377888,"Sufficient evidence of this debt was not provided. In my dispute with XXXX, the debt was removed from my Credit report. 30dys later the debt resurfaced under a different name onto my XXXX credit report.",202,"['Sufficient evidence of this debt was not provided. In my dispute with XXXX, the debt was removed from my Credit report. 30dys later the debt resurfaced under a different name onto my XXXX credit report.']"
2372196,Capital One Bank Reversed my dispute 3 times and debited my account,67,['Capital One Bank Reversed my dispute 3 times and debited my account']
2372173,I do not believe Navient is amortizing the payments correctly. I ve been paying for over 2 years and my principal balance has only gone down about 1100.00 and I pay 50.00 per month extra,186,['I do not believe Navient is amortizing the payments correctly. I ve been paying for over 2 years and my principal balance has only gone down about 1100.00 and I pay 50.00 per month extra']
2278442,"equifax is report a acct that on XXXX2016, on XXXX i dont live there",68,"['equifax is report a acct that on XXXX2016, on XXXX i dont live there']"
2339626,"Misallocation of funds more than XXXX time, and addition of  fees . 
Making it very difficult to bring account current as  overdue  balance is inaccurate and adds up. 
XXXX phone calls today alone, the most recent being at XXXX on a friday evening.",248,"['Misallocation of funds more than XXXX time, and addition of  fees . \nMaking it very difficult to bring account current as  overdue  balance is inaccurate and adds up. \nXXXX phone calls today alone, the most recent being at XXXX on a friday evening.']"
2328395,Debt has not been verified ca nt provide contract or signature,62,['Debt has not been verified ca nt provide contract or signature']
2372381,I have settled out of this account. The status of the account still states a balance and should have a XXXX balance and report as settled in full. Please update this so that lenders are provided the CORRECT and ACCURATE information that is NOT misleading.,255,['I have settled out of this account. The status of the account still states a balance and should have a XXXX balance and report as settled in full. Please update this so that lenders are provided the CORRECT and ACCURATE information that is NOT misleading.']
2325843,"I investigated the negative items on my reports that were not mine and I have not receive any proof of the proper actions taken. My accounts were not properly investigated. Equifax failed to abide by Section XXXX, XXXX, and XXXX",228,"['I investigated the negative items on my reports that were not mine and I have not receive any proof of the proper actions taken. My accounts were not properly investigated. Equifax failed to abide by Section XXXX, XXXX, and XXXX']"
2379474,i have a couple medical bills reporting from collection agency i asked for proof of accounts and i never received docs on this this accounts and they still shoeing on my file.,175,['i have a couple medical bills reporting from collection agency i asked for proof of accounts and i never received docs on this this accounts and they still shoeing on my file.']
2340532,"Reported medical bills on all XXXX credit bureaus XXXX XXXX XXXX, and XXXX saying I owe them but I did not sign anything stating I owe them for the bills and the hospital where services rendered wrote the bills off.",215,"['Reported medical bills on all XXXX credit bureaus XXXX XXXX XXXX, and XXXX saying I owe them but I did not sign anything stating I owe them for the bills and the hospital where services rendered wrote the bills off.']"
2275986,Unauthorized inquiry andor unknown company,42,['Unauthorized inquiry andor unknown company']
2416714,I am a victim of identity theft.,32,['I am a victim of identity theft.']
2381614,"I sent a HIPAA Validation request letter to Syndicated Office Systemst for a medical debt reporting on my credit report, to which I never received a response.",158,"['I sent a HIPAA Validation request letter to Syndicated Office Systemst for a medical debt reporting on my credit report, to which I never received a response.']"
2324549,We have submitted our QWR to the lender 2 times and again on XXXX2017  the lender has not responded to our inquiry and are proceeding with a SD of XXXX2017  the lender is in violation of our right to the requested information to assist our client property.,256,['We have submitted our QWR to the lender 2 times and again on XXXX2017  the lender has not responded to our inquiry and are proceeding with a SD of XXXX2017  the lender is in violation of our right to the requested information to assist our client property.']
2372245,Discover is trying to sue me on a debt that s too old,53,['Discover is trying to sue me on a debt that s too old']
2368341,This has been on my credit report for two years. I have disputed the item over and over  and now it just re apears as  new  every so often. I have tried to contact the creditors inquiring as to what this is for to which I am met with different answers and an unsure avenue about how to correct this.,299,['This has been on my credit report for two years. I have disputed the item over and over  and now it just re apears as  new  every so often. I have tried to contact the creditors inquiring as to what this is for to which I am met with different answers and an unsure avenue about how to correct this.']
2375156,My mortgage company has not paid my Real Estate Taxes out of my escrow after stating it would be paid. My tax bill is now past due and I can not get any response or help from them. THe bank is Citizens One,205,['My mortgage company has not paid my Real Estate Taxes out of my escrow after stating it would be paid. My tax bill is now past due and I can not get any response or help from them. THe bank is Citizens One']
2378776,This account was a joint account with XXXX and was paid a long time ago. I was told by this company that it would be deleted from my credit report and it still shows.,166,['This account was a joint account with XXXX and was paid a long time ago. I was told by this company that it would be deleted from my credit report and it still shows.']
2323521,"Company name is southwest credit, located in XXXX tx. 
They are calling me everyday.",84,"['Company name is southwest credit, located in XXXX tx. \nThey are calling me everyday.']"
2339279,I would Like to open up a complaint On wells fargo bank I sent them a letter on XXXXXXXX to Investigate a credit inquiry On XXXX and XXXX report I also sent a copy of a police report explaining that I was a victim of id Theft They fail respond to my request its been well over 30 days,284,['I would Like to open up a complaint On wells fargo bank I sent them a letter on XXXXXXXX to Investigate a credit inquiry On XXXX and XXXX report I also sent a copy of a police report explaining that I was a victim of id Theft They fail respond to my request its been well over 30 days']
2382258,I received a notice via mail from debt collectors HRRG to pay a debt of medical service I never had.,100,['I received a notice via mail from debt collectors HRRG to pay a debt of medical service I never had.']
2423628,"Contract was cancelled due to the original creditor selling this debt to Jefferson Capital Systems , LLC. I have no contract or no legally binding documents with my signature agreeing to this debt with Jefferson Capital Systems , LLC.",234,"['Contract was cancelled due to the original creditor selling this debt to Jefferson Capital Systems , LLC. I have no contract or no legally binding documents with my signature agreeing to this debt with Jefferson Capital Systems , LLC.']"
2325271,When I spoke to agent on phone and told them I did nt have a job they said well that s my problem and now they are going toctake legal actions against me. They wo nt stop calling my cell phone and refuse to stop harassing me. They have been calling even my mothers cell phone and work phone.,291,['When I spoke to agent on phone and told them I did nt have a job they said well that s my problem and now they are going toctake legal actions against me. They wo nt stop calling my cell phone and refuse to stop harassing me. They have been calling even my mothers cell phone and work phone.']
2339678,Bank of America said they ended a promotion waiving fees on savings account. They said they sent a notice but i did nt receive one. I asked that the 20.00 in fees be refunded and they refused. I would like the 20.00 ro be refunded to me.,237,['Bank of America said they ended a promotion waiving fees on savings account. They said they sent a notice but i did nt receive one. I asked that the 20.00 in fees be refunded and they refused. I would like the 20.00 ro be refunded to me.']
2376556,"Southwest Credit Systems inserted a prior deleted XXXX bill, erroneous info ... date of original fraudulent account was in XXXXXXXX, they reported it as a new date ... disputed it with XXXX, and still there as of XXXXXXXX",221,"['Southwest Credit Systems inserted a prior deleted XXXX bill, erroneous info ... date of original fraudulent account was in XXXXXXXX, they reported it as a new date ... disputed it with XXXX, and still there as of XXXXXXXX']"
2382827,Optimum Outcomes is continually reporting that I owe debt to them. I have requested more information about the service and dates to verify I owe the debt and they are unable to verify the information. Currently there are XXXX items they are reporting and could possibly be related.,281,['Optimum Outcomes is continually reporting that I owe debt to them. I have requested more information about the service and dates to verify I owe the debt and they are unable to verify the information. Currently there are XXXX items they are reporting and could possibly be related.']
2340015,"XXXX is sending me to collection for an account that was closed before I XXXX to XXXX. I did took my orders to the store and they told me that my account was closed  however, they never did and now they are sending me to collections for an error that they committed.",266,"['XXXX is sending me to collection for an account that was closed before I XXXX to XXXX. I did took my orders to the store and they told me that my account was closed  however, they never did and now they are sending me to collections for an error that they committed.']"
2377301,I got a 30 day late XXXX2017 and it s reported on my credit report that payment was made on XXXX2017 when it was actually made on XXXX2017. Please see attached.,160,['I got a 30 day late XXXX2017 and it s reported on my credit report that payment was made on XXXX2017 when it was actually made on XXXX2017. Please see attached.']
2336261,I NEED EXPERIAN TO REMOVE ALL DISPUTES AND DISPUTE COMMENTS FROM MY CREDIT PROFILE. I AM TRYING TO GET A HOME LOAN AND I CAN NOT GET IT UNTIL ALL DISPUTES AND DISPUTE COMMENTS ARE COMPLETELY REMOVED.,199,['I NEED EXPERIAN TO REMOVE ALL DISPUTES AND DISPUTE COMMENTS FROM MY CREDIT PROFILE. I AM TRYING TO GET A HOME LOAN AND I CAN NOT GET IT UNTIL ALL DISPUTES AND DISPUTE COMMENTS ARE COMPLETELY REMOVED.']
2270941,XXXX account reporting late on XXXXXXXX and XXXX2015 when account was never past due.,85,['XXXX account reporting late on XXXXXXXX and XXXX2015 when account was never past due.']
2280205,Debt collection agency  Medical Data Systems. Received telephone call at my place of employment without written or verbal permission to do so to discuss a debt owed. Continued to contact my employer after I verbally asked not to.,229,['Debt collection agency  Medical Data Systems. Received telephone call at my place of employment without written or verbal permission to do so to discuss a debt owed. Continued to contact my employer after I verbally asked not to.']
2339822,Filed a dispute with collection bureau. Collection account was deleted. A week later Common Wealth added the collection back to my credit report without any contact with me stating why.,185,['Filed a dispute with collection bureau. Collection account was deleted. A week later Common Wealth added the collection back to my credit report without any contact with me stating why.']
2338775,Nelnet continue debiting my account after the loan was paidoff. They overcharged my account by 400.00. They claimed that it will take them 46 weeks to refund me.,161,['Nelnet continue debiting my account after the loan was paidoff. They overcharged my account by 400.00. They claimed that it will take them 46 weeks to refund me.']
2371177,I have a credit card debt with Santander bank and it is well overdue. They took the money from my checking account to cover some of the debt. The funds are from my Military XXXX pay. They took 900.00 on the XXXX of the month. I was told they can not take money from my government XXXX check.,291,['I have a credit card debt with Santander bank and it is well overdue. They took the money from my checking account to cover some of the debt. The funds are from my Military XXXX pay. They took 900.00 on the XXXX of the month. I was told they can not take money from my government XXXX check.']
2415218,"I send money to my personal bank of communication account, XXXX, and you send a email shows that was successful, and I will got it at XXXXXXXX, but until now I did nt got it.and I also checked my citiprepaid account, this money also did nt return back, so where is the money",274,"['I send money to my personal bank of communication account, XXXX, and you send a email shows that was successful, and I will got it at XXXXXXXX, but until now I did nt got it.and I also checked my citiprepaid account, this money also did nt return back, so where is the money']"
2277015,I like to inform you that the judgement that is on my credit report should be removed it has expired. The court system is with drew the entire judgement out of their system. Therefore this can not be collected. In this case this judgement should be removed within the next 30 days.,281,['I like to inform you that the judgement that is on my credit report should be removed it has expired. The court system is with drew the entire judgement out of their system. Therefore this can not be collected. In this case this judgement should be removed within the next 30 days.']
2428451,On XXXX2017 received XXXX 2500.00 checks from adp payroll processing. I deposited checks and told by XXXX that checks fraudulent. I have not been able to receive my payroll deposits from adp payroll. My account with XXXX has been closed due to this incident.,258,['On XXXX2017 received XXXX 2500.00 checks from adp payroll processing. I deposited checks and told by XXXX that checks fraudulent. I have not been able to receive my payroll deposits from adp payroll. My account with XXXX has been closed due to this incident.']
2382738,Never opened an account with the company. got a bill with ending  XXXX asking for 100.00,88,['Never opened an account with the company. got a bill with ending  XXXX asking for 100.00']
2331688,"An item that is not mine is reporting on my credit report. I filed a police report and was advised it has been removed. per the attached complaint wit the CFPB. However, this is still on my credit report.",204,"['An item that is not mine is reporting on my credit report. I filed a police report and was advised it has been removed. per the attached complaint wit the CFPB. However, this is still on my credit report.']"
2281925,Unauthorized inquiry andor unknown company,42,['Unauthorized inquiry andor unknown company']
2380529,I have XXXX capital one credit cards that have put on restricted status. Ive called numerous times to find out what s going on all I m told is that its pending fraud no explanation no notification that this was being done and told they do not have a time limit on how long the hold will be.,290,['I have XXXX capital one credit cards that have put on restricted status. Ive called numerous times to find out what s going on all I m told is that its pending fraud no explanation no notification that this was being done and told they do not have a time limit on how long the hold will be.']
2417008,"I HAVE A COLLECTION ACCOUNT THAT DOES NOT BELONG TO ME. I HAVE NO CONTRACT WITH XXXX,",85,"['I HAVE A COLLECTION ACCOUNT THAT DOES NOT BELONG TO ME. I HAVE NO CONTRACT WITH XXXX,']"
2282894,"Personal information listing address as  1916 XXXX XXXX, XXXX, WA XXXX XXXX XXXX XXXX XXXX, XXXX XXXX , WA XXXX Belong to my brother, XXXX XXXX . 
Please remove them from my credit report. 
Thank you",199,"['Personal information listing address as  1916 XXXX XXXX, XXXX, WA XXXX XXXX XXXX XXXX XXXX, XXXX XXXX , WA XXXX Belong to my brother, XXXX XXXX . \nPlease remove them from my credit report. \nThank you']"
2281632,I do not know who this creditor is or why I would be in collections for it. I am afraid it might be identity fraud because My identity has been stolen in the past on multiple accounts.,184,['I do not know who this creditor is or why I would be in collections for it. I am afraid it might be identity fraud because My identity has been stolen in the past on multiple accounts.']
2376473,This is my issue with Navient I called and asked about a payment plan and was given XXXX and then they want back on their word. They told me that the lady made a mistake when she told me that. I felt like I should have honor what was told to me.,245,['This is my issue with Navient I called and asked about a payment plan and was given XXXX and then they want back on their word. They told me that the lady made a mistake when she told me that. I felt like I should have honor what was told to me.']
2414196,"While checking my credit score XXXX is showing a lein on my home by Ford Motor Credit LLC. 
This information is not correct and should never have been on any credit reports. I have documents from my Attorneys office that shows the information is false.",252,['While checking my credit score XXXX is showing a lein on my home by Ford Motor Credit LLC. \nThis information is not correct and should never have been on any credit reports. I have documents from my Attorneys office that shows the information is false.']
2382144,"I received a letter dated XXXXXXXX from XXXX in XXXX, MD who is attempting to collect a debt that I was already sued for by Velocity Investments , LLC in XXXX, NJ and the case judgement was Nonsuit back on XXXXXXXX.",215,"['I received a letter dated XXXXXXXX from XXXX in XXXX, MD who is attempting to collect a debt that I was already sued for by Velocity Investments , LLC in XXXX, NJ and the case judgement was Nonsuit back on XXXXXXXX.']"
2418167,XXXX is a loan servicer and they have reached the statue of limitations. It has been more than 7 years. ACCT  INCORRECT. Date opened XXXX2006. I want this item deleted from my file.,181,['XXXX is a loan servicer and they have reached the statue of limitations. It has been more than 7 years. ACCT  INCORRECT. Date opened XXXX2006. I want this item deleted from my file.']
2335107,"On XXXX XXXX 2017 I was contacted by Lj Ross And Associates about a debt for 620.00, that was previously closed by XXXX via a prior CFPB complaint.  See Case number  XXXX .",172,"['On XXXX XXXX 2017 I was contacted by Lj Ross And Associates about a debt for 620.00, that was previously closed by XXXX via a prior CFPB complaint.  See Case number  XXXX .']"
2425638,Cometity Bank is charging me to much interest. The interest is over the amount of my balance. It is charged on a larger amount. The account has been closed for 2 years.,168,['Cometity Bank is charging me to much interest. The interest is over the amount of my balance. It is charged on a larger amount. The account has been closed for 2 years.']
2277599,"Even though Wells Fargo Dealer Services received the payment for our car loan on XXXX2016, they sent the attached collection letter implying that we were in default on our loan agreement.",187,"['Even though Wells Fargo Dealer Services received the payment for our car loan on XXXX2016, they sent the attached collection letter implying that we were in default on our loan agreement.']"
2329014,The company refuses to remove inaccurate negative credit items The company refuses to remove credit inquiries that were not authorized,134,['The company refuses to remove inaccurate negative credit items The company refuses to remove credit inquiries that were not authorized']
2282752,The debt is on my credit report as Portfolio. I have noticed calls on my caller ID from Portfolio but never once is there a message left. How can I know who this is and what they are calling about if they do not leave a message so I can contact them,249,['The debt is on my credit report as Portfolio. I have noticed calls on my caller ID from Portfolio but never once is there a message left. How can I know who this is and what they are calling about if they do not leave a message so I can contact them']
2367405,"A recorded message calls me employer looking for me and giving the number XXXX stating to call immediately. I have called and stated that I am not allowed to receive calls at work however, they continue to do so. I have asked that they send a letter of debt validation and they have not done so.",295,"['A recorded message calls me employer looking for me and giving the number XXXX stating to call immediately. I have called and stated that I am not allowed to receive calls at work however, they continue to do so. I have asked that they send a letter of debt validation and they have not done so.']"
2367617,XXXX told me I needed to take out a private loan to help pay for my school and then the school closed. I am basically paying for services that I did not receive.,161,['XXXX told me I needed to take out a private loan to help pay for my school and then the school closed. I am basically paying for services that I did not receive.']
2279409,"PenFed offers a hardship package, but does not honor it. I submitted their own paperwork TWO TIMES plus I appealed. I submitted many, many documents of proof, plus IRS advocate case worker.",189,"['PenFed offers a hardship package, but does not honor it. I submitted their own paperwork TWO TIMES plus I appealed. I submitted many, many documents of proof, plus IRS advocate case worker.']"
2419207,I was informed by XXXX XXXX XXXX XXXX I had been given a high risk status by Suntrust Bank. I have never been a customer of Suntrust Bank. I am concerned that this has been reported and is not accurate.,202,['I was informed by XXXX XXXX XXXX XXXX I had been given a high risk status by Suntrust Bank. I have never been a customer of Suntrust Bank. I am concerned that this has been reported and is not accurate.']
2271292,"JP Penney claims that they sent the bill of 5.00 to my address but I did nt not receive it, as a result the company reported it as a negative item on my credit report. No other attempt to reach me was done. As a result my credit score was greatly affected, from XXXX to XXXX.",275,"['JP Penney claims that they sent the bill of 5.00 to my address but I did nt not receive it, as a result the company reported it as a negative item on my credit report. No other attempt to reach me was done. As a result my credit score was greatly affected, from XXXX to XXXX.']"
2375290,My Student loan payments Were rejected after illegal practices were brought up.,79,['My Student loan payments Were rejected after illegal practices were brought up.']
2371939,"Debt was paid by the department of veterans affairs, I m on XXXX  XXXX the VA set up and paid for this, they need to get in touch with the department of veterans affairs.",170,"['Debt was paid by the department of veterans affairs, I m on XXXX  XXXX the VA set up and paid for this, they need to get in touch with the department of veterans affairs.']"
2325621,This debt is owed by the other i payextra child support every month to not have XXXX XXXX XXXX on my health insurance and I am turned into collections regardless,161,['This debt is owed by the other i payextra child support every month to not have XXXX XXXX XXXX on my health insurance and I am turned into collections regardless']
2332602,Unauthorized Inquiry,20,['Unauthorized Inquiry']
2286741,CHASE WENT ON MY CREDIT REPORTS WITHOUT WRITTEN AUTHORIZATION 3 TIMES,69,['CHASE WENT ON MY CREDIT REPORTS WITHOUT WRITTEN AUTHORIZATION 3 TIMES']
2377342,"Reporting XXXX unauthorized inquiries, disputed and still continue to report",76,"['Reporting XXXX unauthorized inquiries, disputed and still continue to report']"
2270623,I have disputed a credit card charge twice with Citi and included their corporate office in the rebuttal to the first decision for merchandise that was ordered and paid for but not received. The details are included in the attachement.,235,['I have disputed a credit card charge twice with Citi and included their corporate office in the rebuttal to the first decision for merchandise that was ordered and paid for but not received. The details are included in the attachement.']
2422447,I was garnished through my employer in XXXX2007 and paid the debt in full. They are now coming back after 10 years saying I owe them more money and adding interest for the 10 years.,181,['I was garnished through my employer in XXXX2007 and paid the debt in full. They are now coming back after 10 years saying I owe them more money and adding interest for the 10 years.']
2424956,Several of the accounts in dispute is where I was an authorized user. The primary is deceased and yet it still shows on my credit reports. Also several accounts are not mine.,174,['Several of the accounts in dispute is where I was an authorized user. The primary is deceased and yet it still shows on my credit reports. Also several accounts are not mine.']
2340473,"all XXXX credit reporting agency, XXXX, Trans Union ,  XXXX is reporting unauthorized inquries on my report and duplicates. disputed with companies and no response or validation",177,"['all XXXX credit reporting agency, XXXX, Trans Union ,  XXXX is reporting unauthorized inquries on my report and duplicates. disputed with companies and no response or validation']"
2335115,"I have recently pulled my credit report and located an account showing a mortgage account called Real Time Resolutions. I recently contacted them and they are a collection agency, not a mortgage company. They are incorrectly reporting on my credit report",254,"['I have recently pulled my credit report and located an account showing a mortgage account called Real Time Resolutions. I recently contacted them and they are a collection agency, not a mortgage company. They are incorrectly reporting on my credit report']"
2373102,The company is reporting my account as a bankruptcy. I have contacted them about 4 times over the past year to correct. Someone always says they will correct but it never happens.,179,['The company is reporting my account as a bankruptcy. I have contacted them about 4 times over the past year to correct. Someone always says they will correct but it never happens.']
2275484,Account currently being reported to credit bureaus and I have yet to receive information regarding the debt.,108,['Account currently being reported to credit bureaus and I have yet to receive information regarding the debt.']
2276337,"My Mortgage payment amount changes each month. 
I never know how much I am suppose to pay. 
The company PennyMac XXXX CA XXXX I have tried to speak to someone about the constant changing of the mortgage amount I am to pay each month.",233,['My Mortgage payment amount changes each month. \nI never know how much I am suppose to pay. \nThe company PennyMac XXXX CA XXXX I have tried to speak to someone about the constant changing of the mortgage amount I am to pay each month.']
2427370,Debt collector robo calls phone after XXXX. Person they are calling for does not live at residence.,99,['Debt collector robo calls phone after XXXX. Person they are calling for does not live at residence.']
2370447,debt just showed up on my credit statement with no notice of right to dispute,77,['debt just showed up on my credit statement with no notice of right to dispute']
2425904,"Credit bureau is reporting inaccurate information I have not entered into a contract with the accounts listed. 
XXXX acct  XXXX XXXX acc  XXXX",142,['Credit bureau is reporting inaccurate information I have not entered into a contract with the accounts listed. \nXXXX acct  XXXX XXXX acc  XXXX']
2335968,SEVENTH AVENUE SHOULD PAY THE ACCT IN FULL AS THE INSURANCE OIN THE ACCT,72,['SEVENTH AVENUE SHOULD PAY THE ACCT IN FULL AS THE INSURANCE OIN THE ACCT']
2431615,This debt is no mine. I have told them over the phone several times this debt is not mine. I have asked the company to show me validation of debt. They have shown me none accept my name dob and social are incorrect.,215,['This debt is no mine. I have told them over the phone several times this debt is not mine. I have asked the company to show me validation of debt. They have shown me none accept my name dob and social are incorrect.']
2423892,"A collection account by the name of XXXX address XXXX XXXX, MD XXXX is listed on my account as opened and is a collection account that I have unknown knowledge about. I would like documentation of the account because I never dealt with a company by that name.",259,"['A collection account by the name of XXXX address XXXX XXXX, MD XXXX is listed on my account as opened and is a collection account that I have unknown knowledge about. I would like documentation of the account because I never dealt with a company by that name.']"
2279092,THIS OFFICE REPRESENTED XXXX XXXX AGAINST ME AND MY HOME,56,['THIS OFFICE REPRESENTED XXXX XXXX AGAINST ME AND MY HOME']
2329722,a fictisous name appears on my credit report,44,['a fictisous name appears on my credit report']
2272850,I have informed Experian that I was never late on XXXX from XXXX to XXXX2015. Please move these late reportings from my credit file.,132,['I have informed Experian that I was never late on XXXX from XXXX to XXXX2015. Please move these late reportings from my credit file.']
2340244,"I am an identity theft victim  credit bureaus, XXXX and NCTUE are not clearing the fraudulent information from my history. Has been XXXX months.",144,"['I am an identity theft victim  credit bureaus, XXXX and NCTUE are not clearing the fraudulent information from my history. Has been XXXX months.']"
2277738,"Late XXXX, I sent out a letter to Experian to dispute inaccurate reporting. In my letter I requested that all NONACCOUNT HOLDING INQUIRIES OVER 30 DAYS OLD BE REMOVED. Experian did not acknowledge this request.",210,"['Late XXXX, I sent out a letter to Experian to dispute inaccurate reporting. In my letter I requested that all NONACCOUNT HOLDING INQUIRIES OVER 30 DAYS OLD BE REMOVED. Experian did not acknowledge this request.']"
2330141,"I have had fraud charges that the bank refuses to investigate or support evidence that they have investigated the charges. I have 8600.00 in fraud charges and they refuse to investigate vendor, do not support any documentation to support their decision.",253,"['I have had fraud charges that the bank refuses to investigate or support evidence that they have investigated the charges. I have 8600.00 in fraud charges and they refuse to investigate vendor, do not support any documentation to support their decision.']"
2339581,"Bank of America provided no warning, written via telephone nor via email though in full possession of those facts about the expiration of an offer. In point of fact in violation of the Fair Credit Reporting Act have forced me into a negative option.",249,"['Bank of America provided no warning, written via telephone nor via email though in full possession of those facts about the expiration of an offer. In point of fact in violation of the Fair Credit Reporting Act have forced me into a negative option.']"
